md,GR
665,29.95
665.5,36.332
666,41.454
666.5,47.256
667,58.561
667.5,58.517
668,56.132
668.5,53.926
669,53.331
669.5,56.282
670,57.357
670.5,56.505
671,53.663
671.5,53.345
672,54.829
672.5,59.464
673,70.391
673.5,78.802
674,87.213
674.5,88.749
675,88.229
675.5,87.073
676,84.966
676.5,82.86
677,82.362
677.5,85.994
678,91.28
678.5,88.264
679,85.153
679.5,84.307
680,84.86
680.5,90.651
681,92.975
681.5,88.672
682,80.483
682.5,72.294
683,66.221
683.5,65.108
684,68.146
684.5,74.657
685,83.481
685.5,89.937
686,100.988
686.5,105.126
687,103.529
687.5,99.953
688,96.376
688.5,92.8
689,91.155
689.5,90.596
690,90.877
690.5,94.611
691,107.219
691.5,105.083
692,102.515
692.5,97.257
693,91.525
693.5,86.117
694,78.162
694.5,72.657
695,67.409
695.5,66.32
696,65.641
696.5,64.7
697,63.043
697.5,60.226
698,57.48
698.5,55.287
699,53.162
699.5,51.294
700,49.453
700.5,50.033
701,53.886
701.5,57.739
702,61.419
702.5,61.149
703,60.19
703.5,58.67
704,51.115
704.5,44.938
705,35.405
705.5,28.202
706,28.127
706.5,31.324
707,35.245
707.5,42.927
708,53.931
708.5,60.81
709,81.581
709.5,89.388
710,89.73
710.5,83.59
711,76.95
711.5,74.697
712,74.013
712.5,73.828
713,74.072
713.5,74.541
714,75.734
714.5,77.198
715,77.464
715.5,76.327
716,74.959
716.5,73.087
717,71.171
717.5,69.951
718,70.826
718.5,76.766
719,81.716
719.5,90.384
720,101.235
720.5,101.386
721,99.439
721.5,90.484
722,81.368
722.5,77.454
723,74.117
723.5,70.779
724,69.089
724.5,69.55
725,75.368
725.5,83.265
726,90.958
726.5,91.084
727,88.387
727.5,85.11
728,84.03
728.5,83.7
729,83.705
729.5,83.893
730,84.564
730.5,86.745
731,95.573
731.5,95.961
732,95.129
732.5,91.488
733,87.589
733.5,83.69
734,80.307
734.5,75.57
735,71.829
735.5,69.985
736,69.059
736.5,65.05
737,60.435
737.5,57.615
738,57.104
738.5,58.172
739,64.147
739.5,70.881
740,71.65
740.5,58.976
741,58.593
741.5,59.315
742,60.508
742.5,62.597
743,63.621
743.5,63.78
744,63.461
744.5,62.578
745,60.274
745.5,57.904
746,55.647
746.5,53.057
747,50.213
747.5,48.975
748,48.847
748.5,52.127
749,57.931
749.5,60.569
750,60.622
750.5,58.846
751,57.988
751.5,57.726
752,57.732
752.5,57.247
753,56.716
753.5,56.184
754,54.827
754.5,51.934
755,50.513
755.5,49.651
756,48.737
756.5,45.118
757,42.194
757.5,39.003
758,29.715
758.5,29.075
759,29.08
759.5,29.661
760,30.588
760.5,37.426
761,39.838
761.5,39.691
762,37.863
762.5,35.566
763,35.347
763.5,37.782
764,42.044
764.5,48.742
765,56.177
765.5,62.364
766,67.548
766.5,66.705
767,62.815
767.5,55.473
768,50.453
768.5,44.318
769,43.685
769.5,49.007
770,59.925
770.5,72.765
771,72.749
771.5,67.087
772,62.301
772.5,58.525
773,60.432
773.5,67.084
774,75.815
774.5,83.385
775,80.258
775.5,77.468
776,76.068
776.5,71.73
777,70.851
777.5,72.317
778,79.361
778.5,87.026
779,87.306
779.5,85.744
780,81.635
780.5,77.501
781,75.214
781.5,75.345
782,76.464
782.5,79.944
783,85.351
783.5,87.35
784,87.369
784.5,84.311
785,81.14
785.5,79.397
786,79.061
786.5,81.105
787,84.331
787.5,84.436
788,79.088
788.5,72.505
789,68.52
789.5,68.16
790,69.838
790.5,73.252
791,72.483
791.5,71.512
792,71.684
792.5,71.92
793,73.613
793.5,76.776
794,79.216
794.5,81.981
795,82.54
795.5,82.063
796,80.559
796.5,78.939
797,77.544
797.5,76.918
798,76.36
798.5,75.662
799,74.604
799.5,73.545
800,72.505
800.5,72.238
801,72.622
801.5,73.35
802,74.065
802.5,74.551
803,74.572
803.5,71.758
804,69.93
804.5,70.551
805,72.348
805.5,74.008
806,73.699
806.5,72.317
807,72.051
807.5,74.102
808,75.657
808.5,74.767
809,73.201
809.5,71.608
810,70.207
810.5,69.048
811,67.888
811.5,66.729
812,61.251
812.5,60.95
813,62.965
813.5,65.701
814,68.925
814.5,68.749
815,65.336
815.5,65.246
816,66.088
816.5,70.745
817,79.263
817.5,80.102
818,79.486
818.5,76.919
819,74.351
819.5,72.373
820,70.176
820.5,65.241
821,62.567
821.5,62.795
822,65.052
822.5,67.84
823,68.604
823.5,67.676
824,66.09
824.5,64.505
825,65.902
825.5,68.197
826,68.64
826.5,68.897
827,69.178
827.5,73.715
828,74.075
828.5,71.686
829,68.391
829.5,66.894
830,72.435
830.5,76.42
831,78.789
831.5,78.65
832,77.997
832.5,77.401
833,76.94
833.5,76.479
834,76.017
834.5,75.556
835,74.509
835.5,68.954
836,66.996
836.5,67.366
837,68.205
837.5,71.438
838,74.021
838.5,74.069
839,72.91
839.5,72.619
840,73.738
840.5,73.955
841,72.958
841.5,70.774
842,68.565
842.5,67.154
843,67.876
843.5,69.26
844,69.843
844.5,70.138
845,70.312
845.5,71.899
846,74.946
846.5,78.317
847,78.062
847.5,74.882
848,74.585
848.5,75.044
849,75.307
849.5,75.174
850,73.727
850.5,72.357
851,71.168
851.5,69.85
852,67.837
852.5,65.887
853,67.651
853.5,69.712
854,71.32
854.5,72.239
855,72.499
855.5,72.557
856,72.615
856.5,73.692
857,75.491
857.5,76.79
858,76.55
858.5,73.954
859,71.021
859.5,69.158
860,72.498
860.5,80.639
861,79.431
861.5,77.363
862,77.098
862.5,78.508
863,80.341
863.5,81.549
864,81.802
864.5,73.39
865,66.815
865.5,63.762
866,66.251
866.5,70.378
867,73.069
867.5,77.08
868,77.775
868.5,76.21
869,75.685
869.5,76.061
870,78.033
870.5,78.968
871,75.932
871.5,71.805
872,72.791
872.5,74.609
873,75.885
873.5,77.162
874,77.262
874.5,77.085
875,76.006
875.5,75.057
876,74.166
876.5,73.819
877,72.438
877.5,70.981
878,71.708
878.5,73.56
879,75.412
879.5,77.264
880,79.116
880.5,80.968
881,82.821
881.5,84.605
882,85.122
882.5,84.639
883,83.741
883.5,81.42
884,80.867
884.5,80.563
885,80.259
885.5,74.965
886,71.87
886.5,73.127
887,75.576
887.5,78.519
888,78.83
888.5,78.343
889,76.945
889.5,75.237
890,73.618
890.5,72.096
891,70.749
891.5,69.8
892,69.643
892.5,70.629
893,78.026
893.5,78.126
894,76.715
894.5,75.323
895,74.721
895.5,74.119
896,73.023
896.5,70.55
897,69.644
897.5,68.738
898,67.831
898.5,68.901
899,72.561
899.5,77.017
900,80.088
900.5,79.647
901,72.181
901.5,71.408
902,71.271
902.5,72.171
903,74.404
903.5,78.4
904,82.395
904.5,83.504
905,82.29
905.5,78.958
906,76.84
906.5,75.091
907,73.342
907.5,71.593
908,69.844
908.5,66.974
909,63.687
909.5,60.4
910,57.113
910.5,55.81
911,56.513
911.5,64.309
912,68.57
912.5,72.832
913,76.688
913.5,76.515
914,73.761
914.5,68.907
915,66.053
915.5,65.78
916,65.919
916.5,70.03
917,74.308
917.5,84.572
918,89.083
918.5,88.836
919,87.238
919.5,84.272
920,81.277
920.5,79.735
921,76.06
921.5,72.368
922,64.279
922.5,54.247
923,37.024
923.5,37.246
924,41.028
924.5,45.423
925,58.756
925.5,65.423
926,70.202
926.5,71.04
927,68.931
927.5,64.383
928,60.827
928.5,60.727
929,61.836
929.5,61.407
930,60.719
930.5,60.719
931,64.859
931.5,67.643
932,69.34
932.5,71.038
933,72.736
933.5,74.434
934,74.848
934.5,74.082
935,72.808
935.5,72.247
936,72.386
936.5,82.395
937,95.577
937.5,95.577
938,95.375
938.5,94.687
939,93.011
939.5,90.037
940,86.783
940.5,83.528
941,81.645
941.5,84.078
942,84.867
942.5,84.161
943,82.353
943.5,80.558
944,79.462
944.5,79.601
945,86.298
945.5,93.228
946,94.56
946.5,99.604
947,106.041
947.5,108.48
948,107.794
948.5,103.406
949,98.66
949.5,93.914
950,89.169
950.5,85.37
951,81.812
951.5,80.032
952,75.219
952.5,73.108
953,68.798
953.5,62.68
954,57.279
954.5,56.986
955,58.618
955.5,60.795
956,63.131
956.5,64.912
957,66.926
957.5,70.51
958,74.526
958.5,77.966
959,77.485
959.5,74.512
960,71.54
960.5,52.589
961,31.976
961.5,29.935
962,34.045
962.5,47.265
963,56.571
963.5,65.955
964,80.553
964.5,79.061
965,73.746
965.5,72.939
966,72.905
966.5,75.93
967,79.802
967.5,82.534
968,83.309
968.5,82.376
969,80.143
969.5,77.804
970,75.81
970.5,75.474
971,79.149
971.5,83.069
972,83.291
972.5,81.34
973,77.199
973.5,77.044
974,78.293
974.5,78.978
975,79.308
975.5,79.18
976,77.513
976.5,75.701
977,74.634
977.5,74.546
978,78.229
978.5,85.398
979,92.949
979.5,93.261
980,93.435
980.5,93.435
981,93.435
981.5,92.681
982,90.387
982.5,86.491
983,76.345
983.5,74.639
984,72.933
984.5,71.15
985,67.869
985.5,60.579
986,50.215
986.5,40.856
987,41.08
987.5,41.765
988,46.108
988.5,50.833
989,54.612
989.5,55.157
990,56.448
990.5,62.127
991,70.817
991.5,79.507
992,84.733
992.5,85.646
993,83.49
993.5,80.67
994,77.74
994.5,76.266
995,76.189
995.5,76.112
996,76.691
996.5,77.468
997,79.169
997.5,80.869
998,86.309
